iter	RMSE
0	36.01345482
1	35.84278048
2	35.63404454
3	35.44267208
4	35.24172036
5	35.04660814
6	34.90061198
7	34.75720561
8	34.60870929
9	34.4615137
10	34.30154507
11	34.1611898
12	34.0194177
13	33.90127117
14	33.79518479
15	33.68762768
16	33.5798205
17	33.46629629
18	33.349435
19	33.24759406
20	33.18350917
21	33.08873655
22	33.01844478
23	32.95341834
24	32.8887971
25	32.81574463
26	32.73840316
27	32.66383855
28	32.57706668
29	32.49355265
30	32.41826985
31	32.34839592
32	32.31017696
33	32.23645503
34	32.17504288
35	32.11656857
36	32.05166253
37	32.00651295
38	31.94630316
39	31.91289834
40	31.86901646
41	31.80736409
42	31.77249333
43	31.73516077
44	31.69478841
45	31.64465188
46	31.60408825
47	31.55394164
48	31.5118773
49	31.47142703
50	31.44506401
51	31.38303265
52	31.34750029
53	31.27934927
54	31.24207262
55	31.20384382
56	31.14184412
57	31.09269218
58	31.06464514
59	31.03760038
60	31.00753325
61	30.98152194
62	30.95218844
63	30.92089923
64	30.86578647
65	30.83122766
66	30.80459061
67	30.7649122
68	30.73783751
69	30.71090277
70	30.68354832
71	30.65364868
72	30.6226574
73	30.6023966
74	30.56441099
75	30.53923368
76	30.50394484
77	30.47580001
78	30.45283433
79	30.41254203
80	30.37993637
81	30.3631113
82	30.3303239
83	30.30277828
84	30.27665004
85	30.26061978
86	30.21488129
87	30.17718581
88	30.15039788
89	30.1295657
90	30.09505948
91	30.06434254
92	30.03451542
93	30.01320807
94	29.98696611
95	29.959839
96	29.93684412
97	29.90332739
98	29.877951
99	29.84581753
100	29.82671525
101	29.78539965
102	29.76393538
103	29.73826374
104	29.70299595
105	29.68840457
106	29.65287434
107	29.63375962
108	29.60772257
109	29.58876351
110	29.56550737
111	29.53193849
112	29.51693336
113	29.49318974
114	29.46512264
115	29.44124475
116	29.42800626
117	29.41298556
118	29.39114337
119	29.36385532
120	29.34117302
121	29.32162946
122	29.29306964
123	29.26735218
124	29.24503481
125	29.21713756
126	29.18631428
127	29.15368417
128	29.12660684
129	29.08593106
130	29.04730862
131	29.02877817
132	29.01076737
133	28.98639395
134	28.97224412
135	28.94687085
136	28.91907384
137	28.90105978
138	28.87767494
139	28.85560552
140	28.82894186
141	28.81231605
142	28.79194721
143	28.76829352
144	28.7440523
145	28.71073076
146	28.68760312
147	28.6705803
148	28.65060445
149	28.62083064
150	28.59445833
151	28.57437199
152	28.55482511
153	28.52605298
154	28.50296415
155	28.48070378
156	28.46574161
157	28.44437087
158	28.41382581
159	28.37085706
160	28.3453428
161	28.32598659
162	28.29589772
163	28.26664176
164	28.23458545
165	28.1949212
166	28.17928445
167	28.14272674
168	28.12630555
169	28.10715391
170	28.07499362
171	28.04046376
172	28.00512019
173	27.97774596
174	27.95001579
175	27.92212248
176	27.88347827
177	27.85581759
178	27.82915044
179	27.79383463
180	27.77128709
181	27.74596587
182	27.72235186
183	27.68816813
184	27.66847735
185	27.64576742
186	27.61730393
187	27.5972027
188	27.55271204
189	27.5180143
190	27.49262807
191	27.46775702
192	27.43927152
193	27.40722427
194	27.36159487
195	27.31812324
196	27.29268561
197	27.2557801
198	27.21172762
199	27.1820411
200	27.14941182
201	27.12039025
202	27.09218549
203	27.06037844
204	27.03577481
205	27.00483741
206	26.96800228
207	26.92817713
208	26.90006157
209	26.87593342
210	26.83418587
211	26.79529595
212	26.74684519
213	26.70179663
214	26.66891541
215	26.63519303
216	26.58356506
217	26.55203148
218	26.51989006
219	26.48751575
220	26.45566355
221	26.42534586
222	26.39440436
223	26.35493687
224	26.32383517
225	26.26270797
226	26.21883214
227	26.18443734
228	26.14362953
229	26.11355683
230	26.08081138
231	26.04818184
232	26.00778614
233	25.97111947
234	25.93435283
235	25.90323411
236	25.86422993
237	25.83203443
238	25.79942813
239	25.76758446
240	25.73633748
241	25.7039964
242	25.67288448
243	25.6433615
244	25.60977493
245	25.57239332
246	25.53112085
247	25.48914594
248	25.45822472
249	25.42096341
250	25.39157103
251	25.36345276
252	25.33194538
253	25.29670636
254	25.24741653
255	25.21103516
256	25.16786634
257	25.12838587
258	25.09146025
259	25.06030842
260	25.02907909
261	24.99782999
262	24.95364823
263	24.92162758
264	24.88561
265	24.85118316
266	24.80728075
267	24.77097241
268	24.73738211
269	24.7030255
270	24.645887
271	24.61816272
272	24.58179156
273	24.55383812
274	24.52226186
275	24.48965027
276	24.44974188
277	24.40126926
278	24.36679233
279	24.32325841
280	24.28949288
281	24.25579912
282	24.22574471
283	24.18547675
284	24.14431041
285	24.11484841
286	24.08727159
287	24.04972793
288	24.02645435
289	23.99717864
290	23.96363352
291	23.92012012
292	23.87151767
293	23.83939177
294	23.79644662
295	23.77505226
296	23.74024287
297	23.70729538
298	23.67267875
299	23.64138829
300	23.60558767
301	23.56627322
302	23.54055667
303	23.50407404
304	23.46858547
305	23.44292717
306	23.4148312
307	23.38896756
308	23.36093836
309	23.32305743
310	23.29449257
311	23.26427242
312	23.21769458
313	23.18194157
314	23.14328411
315	23.10504865
316	23.0763274
317	23.05100188
318	23.02434063
319	22.97457389
320	22.94571579
321	22.92010302
322	22.88771928
323	22.85770546
324	22.82796218
325	22.78933975
326	22.75890376
327	22.72833877
328	22.6987987
329	22.67150553
330	22.63390251
331	22.61192812
332	22.57814188
333	22.54369959
334	22.51229982
335	22.47110792
336	22.44467366
337	22.42021202
338	22.38705668
339	22.35637783
340	22.32894732
341	22.30400474
342	22.27678222
343	22.24902233
344	22.2192152
345	22.19495035
346	22.16880641
347	22.14077745
348	22.10877041
349	22.08655312
350	22.04945449
351	22.01728548
352	21.9865098
353	21.96242508
354	21.93810691
355	21.90977658
356	21.88655383
357	21.85510436
358	21.83116556
359	21.80537051
360	21.7670228
361	21.73453554
362	21.71185608
363	21.67680619
364	21.65501375
365	21.63124342
366	21.60497142
367	21.57715293
368	21.54423962
369	21.51953335
370	21.49536059
371	21.46585842
372	21.43835781
373	21.41374634
374	21.39206812
375	21.36757421
376	21.33964515
377	21.3182597
378	21.29423552
379	21.26986546
380	21.23603276
381	21.20103094
382	21.18048994
383	21.15246828
384	21.12245645
385	21.08928071
386	21.06375105
387	21.04210696
388	21.01579839
389	20.9973009
390	20.97768057
391	20.96063323
392	20.93216807
393	20.90918933
394	20.88336643
395	20.85600337
396	20.83175401
397	20.80047419
398	20.78024639
399	20.75696635
400	20.72995538
401	20.69809555
402	20.6710143
403	20.64554736
404	20.62793872
405	20.60797518
406	20.57385639
407	20.55144574
408	20.5303905
409	20.50436552
410	20.47213531
411	20.44709729
412	20.42191613
413	20.40194017
414	20.37817887
415	20.36036898
416	20.33769461
417	20.31144555
418	20.29167058
419	20.26580839
420	20.23914615
421	20.21861688
422	20.17661862
423	20.15567431
424	20.1296101
425	20.10629425
426	20.08552422
427	20.06562928
428	20.04304753
429	20.02094482
430	20.00078814
431	19.97748736
432	19.9587677
433	19.93870274
434	19.90980356
435	19.88498524
436	19.86475976
437	19.84199881
438	19.81854135
439	19.79254411
440	19.76547568
441	19.73738292
442	19.71468004
443	19.69286151
444	19.67330122
445	19.65152743
446	19.63106453
447	19.61227993
448	19.59047622
449	19.56785264
450	19.53974946
451	19.52218198
452	19.49517001
453	19.46851299
454	19.43884615
455	19.41208242
456	19.38710831
457	19.35885271
458	19.33213105
459	19.3117856
460	19.29136935
461	19.26592327
462	19.24290122
463	19.21967976
464	19.18787503
465	19.17058621
466	19.13548161
467	19.1150938
468	19.09413001
469	19.07359152
470	19.04194561
471	19.0180897
472	18.99757658
473	18.97735164
474	18.95032432
475	18.92429658
476	18.90290688
477	18.87691566
478	18.84958838
479	18.82320391
480	18.80602353
481	18.7805642
482	18.75616447
483	18.7370606
484	18.71785794
485	18.69499899
486	18.67496396
487	18.64912139
488	18.62628267
489	18.60817719
490	18.58501867
491	18.56032957
492	18.52979906
493	18.51139166
494	18.49200997
495	18.46376215
496	18.44539347
497	18.41887528
498	18.39958305
499	18.38060952
500	18.36008461
501	18.33535838
502	18.31384715
503	18.29277382
504	18.2698362
505	18.25417072
506	18.22524625
507	18.20284484
508	18.18102907
509	18.16165935
510	18.14007823
511	18.12061322
512	18.10418742
513	18.08408302
514	18.06333745
515	18.04293485
516	18.01898099
517	17.9991603
518	17.97723807
519	17.95910323
520	17.93675154
521	17.92067539
522	17.90026141
523	17.88395403
524	17.86308851
525	17.84441785
526	17.82182709
527	17.80332166
528	17.78176012
529	17.75669495
530	17.73076256
531	17.71430837
532	17.69558963
533	17.67004971
534	17.65284662
535	17.62161861
536	17.59150862
537	17.57242141
538	17.55472109
539	17.52783459
540	17.50885144
541	17.48745078
542	17.47115716
543	17.44854856
544	17.42067508
545	17.39999433
546	17.38210912
547	17.36290538
548	17.34533217
549	17.3273448
550	17.30920403
551	17.29185367
552	17.26931735
553	17.25323736
554	17.23685869
555	17.22287645
556	17.19804987
557	17.17915395
558	17.1596007
559	17.14348966
560	17.12262156
561	17.10220953
562	17.08127727
563	17.05667895
564	17.03459031
565	17.01737966
566	16.99962826
567	16.98131424
568	16.96768245
569	16.94372352
570	16.92331546
571	16.8958561
572	16.87346208
573	16.85520193
574	16.83763558
575	16.8178682
576	16.80122162
577	16.78161312
578	16.76515533
579	16.74685066
580	16.7282897
581	16.71183555
582	16.68905678
583	16.66961927
584	16.65342218
585	16.63288071
586	16.61416123
587	16.59537923
588	16.57541269
589	16.55312203
590	16.53246426
591	16.51196203
592	16.48400151
593	16.4657084
594	16.44100895
595	16.42169927
596	16.40814278
597	16.39241994
598	16.37628207
599	16.35740331
600	16.3377384
601	16.32248987
602	16.30740685
603	16.2883131
604	16.26786684
605	16.25579962
