iter	Passed	Remaining
0	34	581019
1	71	603114
2	110	624077
3	148	631899
4	189	641721
5	229	649616
6	268	650921
7	305	647715
8	347	655064
9	385	653305
10	424	653853
11	462	654074
12	502	655042
13	540	654132
14	579	655126
15	618	654953
16	656	654842
17	695	655319
18	735	656319
19	776	657689
20	815	658337
21	853	657788
22	893	658644
23	932	658296
24	970	657618
25	1011	658968
26	1051	659920
27	1093	661576
28	1133	662093
29	1175	663513
30	1215	664142
31	1256	665141
32	1299	666941
33	1348	671477
34	1387	671391
35	1429	672190
36	1468	671772
37	1509	672513
38	1548	672289
39	1589	672533
40	1628	672365
41	1675	675089
42	1713	674478
43	1752	673907
44	1792	674248
45	1832	673988
46	1873	674406
47	1911	673977
48	1954	674727
49	1992	674262
50	2033	674533
51	2074	674868
52	2113	674497
53	2153	674519
54	2192	674207
55	2229	673425
56	2269	673256
57	2308	673119
58	2347	672745
59	2387	672896
60	2426	672497
61	2467	672900
62	2506	672446
63	2545	672321
64	2584	672129
65	2625	672310
66	2664	672047
67	2704	672052
68	2753	674361
69	2792	674049
70	2833	674374
71	2873	674423
72	2911	673886
73	2951	673840
74	2992	674013
75	3032	673998
76	3072	674010
77	3111	673676
78	3155	674491
79	3194	674387
80	3232	673975
81	3272	673970
82	3312	673786
83	3350	673361
84	3389	673295
85	3429	673153
86	3471	673552
87	3509	673167
88	3550	673301
89	3590	673357
90	3629	673192
91	3669	673148
92	3709	673180
93	3751	673488
94	3789	673060
95	3829	672964
96	3869	673033
97	3908	672843
98	3948	672879
99	3988	672857
100	4029	673001
101	4070	673008
102	4109	672922
103	4150	672967
104	4190	673057
105	4229	672840
106	4270	672957
107	4309	672722
108	4348	672602
109	4387	672467
110	4428	672491
111	4468	672487
112	4506	672162
113	4547	672282
114	4585	671959
115	4623	671635
116	4666	672052
117	4704	671811
118	4744	671696
119	4783	671606
120	4822	671390
121	4862	671443
122	4901	671283
123	4943	671467
124	4982	671385
125	5019	670968
126	5061	671134
127	5111	672472
128	5150	672318
129	5192	672516
130	5237	673111
131	5277	673058
132	5317	673134
133	5356	672919
134	5395	672792
135	5435	672688
136	5475	672656
137	5514	672510
138	5553	672350
139	5594	672399
140	5633	672264
141	5670	671949
142	5711	671962
143	5749	671710
144	5788	671627
145	5829	671665
146	5868	671504
147	5907	671344
148	5947	671370
149	5989	671555
150	6030	671566
151	6067	671308
152	6108	671285
153	6148	671311
154	6188	671236
155	6225	670957
156	6264	670764
157	6303	670592
158	6342	670483
159	6382	670488
160	6422	670432
161	6460	670249
162	6501	670265
163	6541	670231
164	6580	670116
165	6618	669901
166	6657	669758
167	6695	669570
168	6735	669485
169	6773	669326
170	6818	669764
171	6856	669573
172	6895	669414
173	6934	669274
174	6973	669179
175	7012	669072
176	7053	669106
177	7092	668974
178	7131	668928
179	7174	669117
180	7214	669106
